tier	candidate	candidate_ensembl	candidate_mgi	candidate_name	mito_rxn	mito_subsystem	mito_rxn_description	mito_ec	mito_gpr_state	mito_gpr_genes	evidence	n_shared_genes	shared_genes	paralogue_of	already_elsewhere_in_model	mouse1_rxns	n_mouse1_rxns	mouse1_compartments	mouse1_subsystems	candidate_promiscuity	candidate_context
A	Acadm	ENSMUSG00000062908	MGI:87867	acyl-Coenzyme A dehydrogenase, medium chain	ACADLC14_mitoMap	FA metabolism	Tetradecanoyl-CoA + Q --> trans-Tetradec-2-enoyl-CoA + QH2	1.3.8.8, 1.5.5.1	genes	Acadl,Etfdh	kegg	1	Acadl		True	MAR03128	1	m	Beta oxidation of even-chain fatty acids (mitochondrial)	102	complex
A	Acadvl	ENSMUSG00000018574	MGI:895149	acyl-Coenzyme A dehydrogenase, very long chain	ACADLC14_mitoMap	FA metabolism	Tetradecanoyl-CoA + Q --> trans-Tetradec-2-enoyl-CoA + QH2	1.3.8.8, 1.5.5.1	genes	Acadl,Etfdh	bigg,kegg	1	Acadl		False	MAR03128,MAR05120	2	m	Beta oxidation of even-chain fatty acids (mitochondrial);Fatty acid oxidation	89	complex
A	Acox1	ENSMUSG00000020777	MGI:1330812	acyl-Coenzyme A oxidase 1, palmitoyl	ACADLC14_mitoMap	FA metabolism	Tetradecanoyl-CoA + Q --> trans-Tetradec-2-enoyl-CoA + QH2	1.3.8.8, 1.5.5.1	genes	Acadl,Etfdh	kegg	1	Acadl		False	MAR03128	1	m	Beta oxidation of even-chain fatty acids (mitochondrial)	134	complex
A	Acox3	ENSMUSG00000029098	MGI:1933156	acyl-Coenzyme A oxidase 3, pristanoyl	ACADLC14_mitoMap	FA metabolism	Tetradecanoyl-CoA + Q --> trans-Tetradec-2-enoyl-CoA + QH2	1.3.8.8, 1.5.5.1	genes	Acadl,Etfdh	kegg	1	Acadl		False	MAR03128	1	m	Beta oxidation of even-chain fatty acids (mitochondrial)	83	complex
A	Acad9	ENSMUSG00000027710	MGI:1914272	acyl-Coenzyme A dehydrogenase family, member 9	ACADLC16_mitoMap	FA metabolism	Palmitoyl-CoA + Q --> trans-Hexadec-2-enoyl-CoA + QH2	1.3.8.8, 1.5.5.1	genes	Acadl,Etfdh	kegg	1	Acadl		False	MAR03121	1	m	Beta oxidation of even-chain fatty acids (mitochondrial)	59	isozyme
A	Acadm	ENSMUSG00000062908	MGI:87867	acyl-Coenzyme A dehydrogenase, medium chain	ACADLC16_mitoMap	FA metabolism	Palmitoyl-CoA + Q --> trans-Hexadec-2-enoyl-CoA + QH2	1.3.8.8, 1.5.5.1	genes	Acadl,Etfdh	kegg	1	Acadl		True	MAR03121	1	m	Beta oxidation of even-chain fatty acids (mitochondrial)	102	complex
A	Acadvl	ENSMUSG00000018574	MGI:895149	acyl-Coenzyme A dehydrogenase, very long chain	ACADLC16_mitoMap	FA metabolism	Palmitoyl-CoA + Q --> trans-Hexadec-2-enoyl-CoA + QH2	1.3.8.8, 1.5.5.1	genes	Acadl,Etfdh	bigg,kegg	1	Acadl		False	MAR03121,MAR05329	2	m	Beta oxidation of even-chain fatty acids (mitochondrial);Fatty acid oxidation	89	complex
A	Ehhadh	ENSMUSG00000022853	MGI:1277964	enoyl-Coenzyme A, hydratase/3-hydroxyacyl Coenzyme A dehydrogenase	ECOAH1m	FA metabolism	(S)-3-Hydroxybutanoyl-CoA --> Crotonoyl-CoA + H2O	4.2.1.17	genes	Echs1	bigg,kegg,struct	1	Echs1		False	MAR03164	1	m	Tryptophan metabolism	223	complex
A	Hadha	ENSMUSG00000025745	MGI:2135593	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha	ECOAH1m	FA metabolism	(S)-3-Hydroxybutanoyl-CoA --> Crotonoyl-CoA + H2O	4.2.1.17	genes	Echs1	bigg,kegg,struct	1	Echs1		True	MAR03164	1	m	Tryptophan metabolism	270	complex
A	Hadha	ENSMUSG00000025745	MGI:2135593	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha	HACD1m	FA metabolism	Acetoacetyl-CoA + NADH + H+ --> (S)-3-Hydroxybutanoyl-CoA + NAD+	1.1.1.35	genes	Hadh	bigg,kegg,struct	1	Hadh		True	MAR03166	1	m	Tryptophan metabolism	270	complex
